tag,count,Price,Percent_change_1h,Market_cap_usd,Time
#ethereum,2,599.4450073242188,0.7799999713897705,59867049984.0,00:02
#eos,1,13.778300285339355,0.3499999940395355,12347416576.0,00:02
#bitcoin,1,7554.31982421875,0.46000000834465027,128990961664.0,00:02
#ethereum,28,599.4450073242188,0.7799999713897705,59867049984.0,00:04
#bitcoin,24,7554.31982421875,0.46000000834465027,128990961664.0,00:04
#tron,12,0.059585701674222946,0.7799999713897705,3917647360.0,00:04
#eos,10,13.778300285339355,0.3499999940395355,12347416576.0,00:04
#ripple,3,0.6741210222244263,1.340000033378601,26453536768.0,00:04
#litecoin,3,119.86499786376953,0.20999999344348907,6812416000.0,00:04
#iota,2,1.739959955215454,0.5,4836271616.0,00:04
#bitcoin,28,7554.31982421875,0.46000000834465027,128990961664.0,00:05
#ethereum,27,598.343994140625,0.46000000834465027,59757092864.0,00:05
#tron,17,0.05960189923644066,0.7099999785423279,3918712320.0,00:05
#eos,14,13.796699523925781,0.4000000059604645,12363906048.0,00:05
#ripple,3,0.6736339926719666,1.2699999809265137,26434426880.0,00:05
#iota,2,1.734779953956604,0.11999999731779099,4821873664.0,00:05
#stellar,2,0.295289009809494,1.0399999618530273,5486395392.0,00:05
#litecoin,2,120.23100280761719,0.47999998927116394,6833217536.0,00:05
#cardano,1,0.2169959992170334,0.550000011920929,5626070528.0,00:05
#bitcoin,44,7549.43994140625,0.33000001311302185,128907632640.0,00:06
#ethereum,23,598.343994140625,0.46000000834465027,59757092864.0,00:06
#tron,17,0.05960189923644066,0.7099999785423279,3918712320.0,00:06
#eos,10,13.796699523925781,0.4000000059604645,12363906048.0,00:06
#ripple,6,0.6736339926719666,1.2699999809265137,26434426880.0,00:06
#stellar,3,0.295289009809494,1.0399999618530273,5486395392.0,00:06
#cardano,2,0.2169959992170334,0.550000011920929,5626070528.0,00:06
#litecoin,2,120.23100280761719,0.47999998927116394,6833217536.0,00:06
#iota,1,1.734779953956604,0.11999999731779099,4821873664.0,00:06
#bitcoin,52,7549.43994140625,0.33000001311302185,128907632640.0,00:07
#ethereum,16,598.343994140625,0.46000000834465027,59757092864.0,00:07
#tron,11,0.05960189923644066,0.7099999785423279,3918712320.0,00:07
#ripple,6,0.6736339926719666,1.2699999809265137,26434426880.0,00:07
#eos,6,13.796699523925781,0.4000000059604645,12363906048.0,00:07
#litecoin,4,120.23100280761719,0.47999998927116394,6833217536.0,00:07
#cardano,1,0.2169959992170334,0.550000011920929,5626070528.0,00:07
#stellar,1,0.295289009809494,1.0399999618530273,5486395392.0,00:07
#iota,1,1.734779953956604,0.11999999731779099,4821873664.0,00:07
#bitcoin,54,7549.43994140625,0.33000001311302185,128907632640.0,00:08
#tron,8,0.05960189923644066,0.7099999785423279,3918712320.0,00:08
#ethereum,6,598.343994140625,0.46000000834465027,59757092864.0,00:08
#eos,6,13.796699523925781,0.4000000059604645,12363906048.0,00:08
#iota,4,1.734779953956604,0.11999999731779099,4821873664.0,00:08
#litecoin,3,120.23100280761719,0.47999998927116394,6833217536.0,00:08
#ripple,2,0.6736339926719666,1.2699999809265137,26434426880.0,00:08
#stellar,1,0.295289009809494,1.0399999618530273,5486395392.0,00:08
#bitcoin,51,7549.43994140625,0.33000001311302185,128907632640.0,00:09
#tron,8,0.05960189923644066,0.7099999785423279,3918712320.0,00:09
#ethereum,7,598.343994140625,0.46000000834465027,59757092864.0,00:09
#iota,6,1.734779953956604,0.11999999731779099,4821873664.0,00:09
#ripple,4,0.6736339926719666,1.2699999809265137,26434426880.0,00:09
